Validator,PT_VERSION,2.5.1
Validator,ROCM_VERSION,6.3.1.0-40-ce2be3b
Validator,HIPBLASLT_VERSION,1000-b4e5042b
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.3.0-8ebd6c11
GemmTunableOp_Half_TN,tn_3584_88_18944,Gemm_Hipblaslt_TN_85427,0.0790678
GemmTunableOp_Half_TN,tn_3584_56_18944,Gemm_Hipblaslt_TN_71770,0.0666788
GemmTunableOp_Half_TN,tn_3584_40_3584,Gemm_Hipblaslt_TN_71715,0.0202906
GemmTunableOp_Half_TN,tn_37888_131072_3584,Gemm_Hipblaslt_TN_87709,119.254
GemmTunableOp_Half_TN,tn_3584_256_3584,Gemm_Rocblas_621282647,0.0395906
GemmTunableOp_Half_TN,tn_3584_200_18944,Gemm_Hipblaslt_TN_74087,0.139277
GemmTunableOp_Half_TN,tn_3584_176_18944,Gemm_Hipblaslt_TN_72879,0.122572
GemmTunableOp_Half_TN,tn_3584_240_3584,Gemm_Rocblas_621288856,0.0406689
GemmTunableOp_Half_TN,tn_3584_24_18944,Gemm_Hipblaslt_TN_71663,0.0488798
GemmTunableOp_Half_TN,tn_3584_152_18944,Gemm_Hipblaslt_TN_72122,0.105797
GemmTunableOp_Half_TN,tn_3584_144_3584,Gemm_Rocblas_621289097,0.0339667
GemmTunableOp_Half_TN,tn_3584_136_3584,Gemm_Rocblas_621289097,0.0336863
GemmTunableOp_Half_TN,tn_3584_104_18944,Gemm_Hipblaslt_TN_72046,0.08959
GemmTunableOp_Half_TN,tn_4608_64_3584,Gemm_Rocblas_621288818,0.0211831
GemmTunableOp_Half_TN,tn_4608_88_3584,Gemm_Hipblaslt_TN_74513,0.0280412
GemmTunableOp_Half_TN,tn_4608_240_3584,Gemm_Rocblas_621282649,0.0517176
GemmTunableOp_Half_TN,tn_37888_96_3584,Gemm_Hipblaslt_TN_72490,0.19026
GemmTunableOp_Half_TN,tn_4608_200_3584,Gemm_Rocblas_621282649,0.0482801
GemmTunableOp_Half_TN,tn_3584_216_3584,Gemm_Rocblas_621288856,0.0409049
GemmTunableOp_Half_TN,tn_37888_248_3584,Gemm_Hipblaslt_TN_74844,0.35474
GemmTunableOp_Half_TN,tn_3584_80_3584,Gemm_Hipblaslt_TN_71899,0.0257174
GemmTunableOp_Half_TN,tn_152064_256_3584,Gemm_Rocblas_621282426,1.44041
GemmTunableOp_Half_TN,tn_3584_232_18944,Gemm_Hipblaslt_TN_72369,0.150828
GemmTunableOp_Half_TN,tn_3584_32_18944,Gemm_Hipblaslt_TN_71663,0.0502166
GemmTunableOp_Half_TN,tn_3584_72_3584,Gemm_Hipblaslt_TN_71899,0.0256224
GemmTunableOp_Half_TN,tn_3584_48_18944,Gemm_Hipblaslt_TN_74656,0.057581
